abicaus;descrcaus
01;Valore ammesso per accordo tra le parti
05;Prelevamento a mezzo nostro sportello automatico
06;Accredito per incassi con addebito in conto preautorizzato (Operazioni diverse da incassi RID)
07;Accredito per incassi con addebito in conto non preautorizzato o per cassa
08;Disposizioni di incasso preautorizzate impagate (Operazioni diverse da incassi RID)
09;Incasso tramite P.O.S.
10;Emissione assegni circolari o vaglia
11;Pagamento utenze (servizi pubblici, luce, gas, telefono, ecc.) (Da utilizzare per codici non riconducibili ai codici ZC, ZD e ZE)
13;Vostro assegno bancario n.
14;Cedole, dividendi e premi estratti
15;Rimborso finanziamenti (mutui, prestiti personali, ecc.)
16;Commissioni
17;Locazioni (fitto, leasing ecc.) e premi assicurativi
18;Interessi e competenze (conti correnti, conti di deposito ecc.)
19;Commissioni
20;Canone cassette di sicurezza e custodia valori
21;Contributi assistenziali e previdenziali
22;Diritti di custodia e amministrazione titoli
24;Pagamento o incasso di documenti sull’Italia
26;Vostra disposizione a favore di
27;Accredito per emolumenti (stipendi, pensioni, ecc.)
28;Acquisto e vendita divise e/o banconote estere (Per operazioni diverse da compravendita banconote estere, la causale e’ da utilizzare solo nei casi in cui la motivazione del pagamento non possa essere ricondotta agli altri codici elencati)
29;Accrediti RI.BA.
30;Accrediti effetti s.b.f.
31;Effetti ritirati (pagati)
32;Effetti richiamati
34;Disposizioni di giro conto (stessa banca) (Da utilizzare per pagamenti per i quali l’ordinante e il beneficiario sono il medesimo soggetto)
35;Storni RI.BA.
37;Insoluti RI.BA.
39;Vostra disposizione per emolumenti (stipendi, pensioni ecc.)
41;Pagamento o disposizione a mezzo sportello automatico
42;Effetti insoluti o protestati
43;Pagamento tramite POS
44;Addebito per utilizzo di credito documentario su estero
45;Pagamento per utilizzo carte di credito
46;Mandati di pagamento
47;Accredito per utilizzo credito documentario sull’Italia
48;Bonifico a Vostro favore (per ordine e conto) 
49;Valore ammesso per accordo tra le parti
50;Pagamenti diversi 
51;Assegni turistici
52;Prelevamento con moduli di sportello 
53;Addebito per utilizzo di credito documentario sull’Italia
55;Assegni bancari insoluti o protestati
56;Ricavo effetti o assegni in lire e/o valuta estera al dopo incasso (sull’Italia)
57;Restituzione di assegni o vaglia irregolari
58;Reversali d¿incasso
60;Rettifica valuta
62;Saldo
63;Accrediti sconto effetti diretti
64;Accrediti effetti presentati allo sconto (sull’Italia)
65;Competenze di sconto
66;Spese
68;Storno scritture
70;Acquisto/vendita a pronti titoli e diritti di opzione
72;Accredito per utilizzo di credito documentario da estero
74;Valori bollati
78;Versamento di contante o valori assimilati
79;Disposizione di giro conto (da/a altra banca) 
80;Acquisto/Vendita a termine titoli
81;Accensione riporto titoli
82;Estinzione riporto titoli
83;Sottoscrizione titoli e/o fondi comuni
84;Titoli scaduti o estratti
85;Aumento di capitale o operazioni societarie
86;Finanziamenti import
87;Anticipazioni export
88;Valore ammesso per accordo tra le parti
90;Pagamento o incasso di rimesse documentate da o per l’estero 
91;Prelevamento a mezzo sportello automatico di altra banca
92;Costo libretto assegni
93;Valore ammesso per accordo tra le parti
94;Commissioni e spese su operazioni in titoli
95;Commissioni e spese su operazioni con l’estero 
96;Rettifica importo
99;Accredito per rimborsi imposte ‘conto fiscale’
Y1;Anticipazioni su fatture Italia
Z1;Disposizioni di giro di cash pooling
Z2;Versamento di assegni bancari 
Z3;Versamento di assegni circolari emessi da altre banche
Z4;Versamento di assegni postali non standardizzati
Z5;Versamento indiretto. Versamento di contante e/o assegni eseguito da soggetto diverso dal titolare del conto (ad esempio, venditori o agenti di un’impresa) 
Z6;Prelevamento a valere su credito semplice (Prelevamento eseguito da soggetto diverso dal titolare del conto (ad esempio, venditori o agenti di un’impresa) 
Z7;Accredito RID
Z8;Accredito MAV
Z9;Insoluto/storno RID
ZA;Insoluto MAV
ZB;Incasso certificati conformita’
ZC;Pagamento per fornitura elettrica
ZD;Pagamento per servizio telefonico
ZE;Pagamento per servizi acqua/gas
ZF;Pagamento per operazioni su prodotti derivati
ZG;Accredito per operazioni su prodotti derivati
ZH;Rimborso titoli e/o fondi comuni
ZI;Bonifico dall’estero
ZL;Bonifico sull’estero
ZM;Sconto effetti sull’estero
ZN;Negoziazione assegni sull’estero
ZP;Commissioni e spese su fideiussioni (Da utilizzare per operazioni estero e Italia)
ZQ;Commissioni e spese su crediti documentari
ZR;Penali
ZS;Erogazione prestiti personali e finanziamenti diversi
ZT;Pagamento/incasso bollettino bancario
ZU;Bonifico per previdenza complementare
ZX;Bonifico oggetto di oneri deducibili o detrazioni di imposta
