id;tipo;idfile;dtmov;dtval;movstr;valstr;dare;avere;cardid;descr;abicaus;descrcaus;costo;idcodstat;codstat;descrstat;flag
7172;"revolut";72;2026-02-09 18:42:51;2026-02-09 18:42:52;"2026.02";"2026.02";0,00;1,30;;"Balance migration to another region or legal entity";"ZT";"Pagamento/incasso bollettino bancario";0;0;;;0
7171;"revolut";72;2026-02-09 18:42:51;2026-02-09 18:42:52;"2026.02";"2026.02";1,30;0,00;;"Balance migration to another region or legal entity";"ZT";"Pagamento/incasso bollettino bancario";0;0;;;0
7173;"revolut";72;2026-02-23 19:52:50;2026-02-23 19:52:52;"2026.02";"2026.02";0,00;5,00;;"Pagamento da GENNARI ALESSANDRO";"Z7";"Accredito RID";0;0;;;0
7174;"revolut";72;2026-02-26 19:52:01;2026-02-26 19:52:02;"2026.02";"2026.02";0,00;300,00;;"Pagamento da GENNARI ALESSANDRO";"Z7";"Accredito RID";0;0;;;0
7175;"revolut";72;2026-02-28 20:35:53;2026-03-01 11:30:38;"2026.02";"2026.03";8,00;0,00;;"Necessaire";"43";"Pagamento POS";0;0;;;0
7176;"revolut";72;2026-04-01 14:58:37;2026-04-02 17:08:32;"2026.04";"2026.04";3,20;0,00;;"Starbucks";"43";"Pagamento POS";0;0;;;0
7177;"revolut";72;2026-04-16 19:44:36;2026-04-17 12:40:44;"2026.04";"2026.04";17,40;0,00;;"Brio Snc Di Brienza C.";"43";"Pagamento POS";0;0;;;0
7178;"revolut";72;2026-04-21 08:32:55;2026-04-22 10:44:23;"2026.04";"2026.04";12,38;0,00;;"Zanini Luca & C.";"43";"Pagamento POS";0;0;;;0
7179;"revolut";72;2026-04-26 16:12:41;2026-04-27 13:07:49;"2026.04";"2026.04";12,00;0,00;;"Bar Adriatico";"43";"Pagamento POS";0;0;;;0
7180;"revolut";72;2026-05-01 17:22:52;2026-05-02 10:32:40;"2026.05";"2026.05";3,20;0,00;;"Bar Morgan";"43";"Pagamento POS";0;0;;;0
7182;"revolut";72;2026-05-03 18:03:55;2026-05-04 12:09:10;"2026.05";"2026.05";1,50;0,00;;"Peacock";"43";"Pagamento POS";0;0;;;0
7181;"revolut";72;2026-05-03 18:46:44;2026-05-04 11:16:36;"2026.05";"2026.05";12,54;0,00;;"Vinted";"43";"Pagamento POS";0;0;;;0
7185;"revolut";72;2026-05-05 13:33:06;2026-05-06 13:47:01;"2026.05";"2026.05";6,00;0,00;;"Conad";"43";"Pagamento POS";0;0;;;0
7183;"revolut";72;2026-05-05 13:48:18;2026-05-06 13:10:19;"2026.05";"2026.05";0,00;12,54;;"Vinted";"68";"Storni vari";0;0;;;0
7184;"revolut";72;2026-05-05 14:20:23;2026-05-06 13:10:34;"2026.05";"2026.05";18,74;0,00;;"Vinted";"43";"Pagamento POS";0;0;;;0
7186;"revolut";72;2026-05-09 18:25:05;2026-05-10 13:41:35;"2026.05";"2026.05";5,00;0,00;;"Gelateria Gianni";"43";"Pagamento POS";0;0;;;0
7187;"revolut";72;2026-05-17 14:45:27;2026-05-18 15:06:55;"2026.05";"2026.05";4,00;0,00;;"Autogrill";"43";"Pagamento POS";0;0;;;0
7188;"revolut";72;2026-05-18 15:02:03;2026-05-19 11:40:10;"2026.05";"2026.05";2,60;0,00;;"Autogrill";"43";"Pagamento POS";0;0;;;0
7189;"revolut";72;2026-05-19 14:13:57;2026-05-20 13:07:03;"2026.05";"2026.05";3,00;0,00;;"Giganti Della Sila";"43";"Pagamento POS";0;0;;;0
7190;"revolut";72;2026-05-21 14:35:08;2026-05-22 11:30:38;"2026.05";"2026.05";14,90;0,00;;"Lido Onda Blu";"43";"Pagamento POS";0;0;;;0
7191;"revolut";72;2026-05-22 15:21:59;2026-05-23 13:51:27;"2026.05";"2026.05";6,00;0,00;;"Ascensore Scilla";"43";"Pagamento POS";0;0;;;0
7192;"revolut";72;2026-06-07 16:34:10;2026-06-08 11:12:45;"2026.06";"2026.06";3,00;0,00;;"Bar Adriatico";"43";"Pagamento POS";0;0;;;0
7193;"revolut";72;2026-06-07 16:42:45;2026-06-08 11:12:45;"2026.06";"2026.06";3,00;0,00;;"Bar Adriatico";"43";"Pagamento POS";0;0;;;0
7194;"revolut";72;2026-06-14 17:07:39;2026-06-15 11:52:38;"2026.06";"2026.06";9,70;0,00;;"Bar Adriatico";"43";"Pagamento POS";0;0;;;0
7195;"revolut";72;2026-06-14 18:03:38;2026-06-15 11:52:38;"2026.06";"2026.06";5,50;0,00;;"Bar Adriatico";"43";"Pagamento POS";0;0;;;0
7196;"revolut";72;2026-06-19 08:56:21;2026-06-20 13:32:53;"2026.06";"2026.06";8,82;0,00;;"Gastronomia Enoteca Za";"43";"Pagamento POS";0;0;;;0
7197;"revolut";72;2026-06-25 15:38:44;2026-06-26 12:09:03;"2026.06";"2026.06";1,70;0,00;;"Bar Gelateria Centrale";"43";"Pagamento POS";0;0;;;0
7198;"revolut";72;2026-06-26 23:14:56;2026-06-27 11:08:45;"2026.06";"2026.06";5,00;0,00;;"Hotel La Perla";"43";"Pagamento POS";0;0;;;0
